scenario,year,variable,value
SSP1,2052,displacement_beta,4.11897574056418
SSP1,2053,displacement_beta,4.12400975042899
SSP1,2054,displacement_beta,4.12991919038732
SSP1,2055,displacement_beta,4.14092249390605
SSP1,2056,displacement_beta,4.36615833592264
SSP1,2057,displacement_beta,4.38021234652725
SSP1,2058,displacement_beta,4.39399607602281
SSP1,2059,displacement_beta,4.40854596045699
SSP1,2060,displacement_beta,4.43603570262905
SSP1,2061,displacement_beta,4.57663929230417
SSP1,2062,displacement_beta,4.55790169236121
SSP1,2063,displacement_beta,4.54362004472096
SSP1,2064,displacement_beta,4.5411416631868
SSP1,2065,displacement_beta,4.54861227240922
SSP1,2066,displacement_beta,4.60284271516724
SSP1,2067,displacement_beta,4.60253440073651
SSP1,2068,displacement_beta,4.61319015596319
SSP1,2069,displacement_beta,4.63056954352783
SSP1,2070,displacement_beta,4.6559215686089
SSP1,2071,displacement_beta,4.68113450211425
SSP1,2072,displacement_beta,4.70573459298828
SSP1,2073,displacement_beta,4.73830277065403
SSP1,2074,displacement_beta,4.77769054794421
SSP1,2075,displacement_beta,4.82107752204521
SSP1,2076,displacement_beta,4.85375523422773
SSP1,2077,displacement_beta,4.90066025830683
SSP1,2078,displacement_beta,4.95064238095693
SSP1,2079,displacement_beta,5.0021232708603
SSP1,2080,displacement_beta,5.05337395955661
SSP1,2081,displacement_beta,5.03252527977864
SSP1,2082,displacement_beta,5.02105825310788
SSP1,2083,displacement_beta,5.01009904563593
SSP1,2084,displacement_beta,5.00027039991563
SSP1,2085,displacement_beta,4.98961790086952
SSP1,2086,displacement_beta,4.9681878677084
SSP1,2087,displacement_beta,4.95845389926078
SSP1,2088,displacement_beta,4.94880936535196
SSP1,2089,displacement_beta,4.93823246519183
SSP1,2090,displacement_beta,4.92763281367329
SSP1,2091,displacement_beta,4.90662410649424
SSP1,2092,displacement_beta,4.89603006919732
SSP1,2093,displacement_beta,4.88528189054121
SSP1,2094,displacement_beta,4.87458735788478
SSP1,2095,displacement_beta,4.86426324266758
SSP1,2096,displacement_beta,4.84231470097471
SSP1,2097,displacement_beta,4.83333470198855
SSP1,2098,displacement_beta,4.82467971172936
SSP1,2099,displacement_beta,4.8162865886086
SSP1,2100,displacement_beta,4.80854795438556
SSP2,2013,displacement_beta,3.87452622575071
SSP2,2014,displacement_beta,2.01237733873682
SSP2,2015,displacement_beta,3.05740018712918
SSP2,2016,displacement_beta,2.42153031114519
SSP2,2017,displacement_beta,3.93140619149613
SSP2,2018,displacement_beta,3.25761298250051
SSP2,2019,displacement_beta,2.77271150743679
SSP2,2020,displacement_beta,2.70638044076485
SSP2,2021,displacement_beta,2.69128727251193
SSP2,2022,displacement_beta,2.65375840510723
SSP2,2023,displacement_beta,2.67127903729081
SSP2,2024,displacement_beta,2.76796949485713
SSP2,2025,displacement_beta,2.96935925736678
SSP2,2026,displacement_beta,3.35005658212556
SSP2,2027,displacement_beta,3.38963728839793
SSP2,2028,displacement_beta,3.40522852882704
SSP2,2029,displacement_beta,3.43019056087755
SSP2,2030,displacement_beta,3.46847715452665
SSP2,2031,displacement_beta,3.67424996940201
SSP2,2032,displacement_beta,3.72627154044483
SSP2,2033,displacement_beta,3.77406870590246
SSP2,2034,displacement_beta,3.80091980743237
SSP2,2035,displacement_beta,3.7839944061904
SSP2,2036,displacement_beta,3.9606564276194
SSP2,2037,displacement_beta,3.8763887191337
SSP2,2038,displacement_beta,3.75080647486242
