scenario,year,historical_humanitarian_needs,humanitarian_needs,intercept,displaced_persons,displacement_beta,tmax,prec,tmax_beta,prec_beta,conflict,conflict_beta,humanitarian_needs_label
SSP2,2014,17386435740,15.7552411532755,-8282028604.83627,13881257.6875,2012377338.73682,4770.17141305407,170851.338474595,29305691576.0892,-9632039397.00942,30.7859871309521,2351240240.29517,1.00075606983293
SSP2,2015,16751791268,17.59245906018,-8282028604.83627,21089762.359375,3057400187.12918,4799.63124098381,164210.998407281,29486678915.2089,-9257678752.78532,33.8871466310217,2588087315.46354,1.11745418660903
SSP2,2016,20863791077,16.0980764956557,-8282028604.83627,16703570.25,2421530311.14519,4798.05882167816,174014.236786714,29477018709.9019,-9810353254.09167,30.0091373218014,2291909333.53648,1.0225326041622
SSP2,2017,20087890503,17.5986074966164,-8282028604.83627,27118603.140625,3931406191.49613,4781.67276197672,176773.822069087,29376350459.188,-9965929642.29289,33.2419217430209,2538809093.06143,1.11784472871649
SSP2,2018,22952441203,17.1607633646927,-8282028604.83627,22470818.1640625,3257612982.50051,4793.40509357055,171956.375507542,29448428391.2758,-9694337768.98317,31.8314793309118,2431088364.7358,1.09003333767521
SSP2,2019,22757028597,16.6363987318791,-8282028604.83627,19125996.9921875,2772711507.43679,4809.12887008737,171985.783317158,29545027885.3217,-9695995685.05997,30.0716496064677,2296683629.01691,1.05672625694007
SSP2,2020,24991858668,16.4197162021193,-8282028604.83627,18668449.2890625,2706380440.76485,4807.23388322194,174714.079892013,29533385976.5075,-9849808118.31544,30.2693993004391,2311786507.99863,1.04296281436408
SSP2,2021,25842821986,16.2114380154615,-8282028604.83627,18564337.5234375,2691287272.51193,4794.29118452531,175616.111791486,29453872117.7125,-9900661725.14494,29.4468970574317,2248968955.21835,1.02973320667457
SSP2,2022,33503635306,16.2495350111364,-8282028604.83627,18305465.65625,2653758405.10723,4800.04120993085,175750.753327734,29489197571.7681,-9908252374.37953,30.0739590981231,2296860013.47689,1.03215308709995
SSP2,2023,0,16.3344256829446,-8282028604.83627,18426321.921875,2671279037.29081,4805.79123533639,175885.394863983,29524523025.8237,-9915843023.61412,30.592923433491,2336495248.28046,1.03754525179345
SSP2,2024,0,16.4949837029221,-8282028604.83627,19093286.875,2767969494.85713,4811.54126074192,176020.036400232,29559848479.8793,-9923433672.84871,31.0660280491378,2372628005.87067,1.04774372552607
SSP2,2025,0,16.7612082084899,-8282028604.83627,20482461.328125,2969359257.36678,4817.29128614745,176154.677936481,29595173933.9349,-9931024322.08331,31.5517964540642,2409727944.10779,1.06465402142655
SSP2,2026,0,17.1355203060423,-8282028604.83627,23108488.546875,3350056582.12556,4823.04131155298,176289.319472729,29630499387.9905,-9938614971.3179,31.1050454803013,2375607912.08041,1.08842992558398
