Scenario,year,pop
SSP5,2075,8291.43325171309
SSP5,2076,8265.51996650469
SSP5,2077,8238.44446878657
SSP5,2078,8210.19767856213
SSP5,2079,8180.7705158348
SSP5,2080,8150.15390060798
SSP5,2081,8118.34748808904
SSP5,2082,8085.38587430112
SSP5,2083,8051.3123904713
SSP5,2084,8016.17036782666
SSP5,2085,7980.00313759428
SSP5,2086,7942.85179743575
SSP5,2087,7904.74851075072
SSP5,2088,7865.72320737333
SSP5,2089,7825.80581713773
SSP5,2090,7785.02626987808
SSP5,2091,7743.41110914618
SSP5,2092,7700.97333336447
SSP5,2093,7657.72255467304
SSP5,2094,7613.66838521199
SSP5,2095,7568.82043712139
SSP5,2096,7523.18899979782
SSP5,2097,7476.7870716637
SSP5,2098,7429.62832839795
SSP5,2099,7381.72644567946
SSP5,2100,7333.09509918714
