displaced_persons,displaced_persons_t1,displaced_persons_t2,displaced_persons_t3,mean_displaced_persons_t1_o1,mean_displaced_persons_t2_o1,mean_displaced_persons_t3_o1,mean_displaced_persons_t1_o2,mean_displaced_persons_t2_o2,mean_displaced_persons_t3_o2,mean_displaced_persons_t1_o3,mean_displaced_persons_t2_o3,mean_displaced_persons_t3_o3,Region,year,pop,gdp,urban
0,,,,,,,,,,,,,R5.2OECD,1960,769.776363,,
0,,,,,,,,,,,,,R5.2REF,1960,208.206607,,
0,,,,,,,,,,,,,REU,1960,0.335329,,32.838
0,,,,,,,,,,,,,TWN,1960,10.493206,,
0,,,,,,,,,,,,,VIR,1960,0.032632,,56.477
0,,,,,,,,,,,,,World,1960,3038.412766,,
150000,150000,0,0,30000,0,0,7894.73684210526,0,0,4411.76470588235,0,0,AGO,1961,5.06454471346207,,10.8921194487905
147000,0,0,0,0,0,0,11538.4615384615,0,0,5172.41379310345,0,0,RWA,1961,2.85574403049345,,2.4890458489704
5000,0,0,0,0,0,0,0,0,0,5357.14285714286,0,0,GHA,1961,7.00571205616406,,23.7008466043882
0,0,0,0,0,0,0,0,0,0,3125,0,0,SDN,1961,11.8492837214066,,11.171504901112
0,0,0,0,0,0,0,0,0,0,0,0,0,GNB,1961,0.598607267188782,,13.7464756364202
0,0,0,0,0,0,0,0,0,0,0,0,0,ALB,1961,1.66148052768542,,30.8390261935651
0,0,0,0,0,0,0,0,0,0,0,0,0,ARM,1961,1.9377336781515,,52.13640999194
0,0,0,0,0,0,0,0,0,0,0,0,0,RUS,1961,121.706667826661,,54.6210639170787
0,0,0,0,15000,0,0,6818.18181818182,0,0,3488.37209302326,0,0,COD,1961,15.7446875355084,,22.7166060005931
0,0,0,0,0,0,0,0,0,0,0,0,0,VNM,1961,36.0770153272065,,14.9416526808238
0,0,0,0,0,0,0,0,0,0,0,0,0,CHN,1961,661.74815323396,,16.9489362768412
0,0,0,0,0,0,0,7500,0,0,4166.66666666667,0,0,MOZ,1961,7.8008035511056,,3.91345500925319
0,0,0,0,0,0,0,11538.4615384615,0,0,5172.41379310345,0,0,BDI,1961,2.98186084524978,,2.10896929086854
0,0,0,0,0,0,0,0,0,0,0,0,0,GRC,1961,8.37142030098661,,43.646916672633
0,0,0,0,0,0,0,0,0,0,0,0,0,HUN,1961,10.0134352106751,,56.336686045791
0,0,0,0,0,0,0,0,0,0,0,0,0,CPV,1961,0.216813383591098,,16.9735930423026
0,0,0,0,0,0,0,10000,0,0,6000,0,0,MWI,1961,3.61153462519649,,4.43775671851243
0,0,0,0,25000,0,0,11538.4615384615,0,0,6818.18181818182,0,0,NAM,1961,0.617902165901147,,18.2639903692179
0,0,0,0,0,0,0,13636.3636363636,0,0,7142.85714285714,0,0,ZAF,1961,17.8735719130989,,46.7387912135241
0,0,0,0,0,0,0,0,0,0,4687.5,0,0,ETH,1961,23.1125914095672,,6.67613691453673
0,0,0,0,25000,0,0,8823.52941176471,0,0,4166.66666666667,0,0,COG,1961,1.04046192086663,,32.3246784903821
0,0,0,0,16666.6666666667,0,0,8333.33333333333,0,0,5000,0,0,ZMB,1961,3.13749505742356,,18.8063614025722
0,0,0,0,0,0,0,0,0,0,4838.70967741936,0,0,NGA,1961,46.9364715713255,,17.1412321265769
0,0,0,0,0,0,0,0,0,0,0,0,0,IRQ,1961,7.55399692145348,,44.7383473465324
0,0,0,0,0,0,0,0,0,0,0,0,0,SYR,1961,4.71572746917316,,37.3006280861304
0,0,0,0,0,0,0,0,0,0,0,0,0,BGR,1961,7.93875163364217,,39.0374781472844
0,0,0,0,0,0,0,0,0,0,0,0,0,SRB,1961,7.65181293511137,,29.9133480606975
0,0,0,0,0,0,0,0,0,0,0,0,0,CUB,1961,7.30120400451343,,58.7641036715038
0,0,0,0,0,0,0,0,0,0,3061.22448979592,0,0,TCD,1961,3.02222753491384,,6.89490693793738
0,0,0,0,0,0,0,0,0,0,0,0,0,ROU,1961,18.439088268499,,35.0099587030864
