humanitarian,humanitarian_needs,conflict,temp,nb_conflict,YMHEP,lpop,lGDPcap,ltsc0,nc,ncc1,ncc2,ltsnc,ncts0,lpop.1,lGDPcap_ltsc0,ltimeindep
0,0,0,23,1,0.736118257,9.125630379,9.080569267,1.386294361,1,0,0,2.944438934,0,9.125630379,12.58834197,2.944438934
0,0,0,23,1,0.745713949,9.135943413,9.096246719,1.609437912,1,0,0,2.995732307,0,9.135943413,14.63984433,2.995732307
0,0,1,23,1,0.755309641,9.146151543,9.111370087,1.791759469,1,0,0,3.044522524,0,9.146151543,16.32538363,3.044522524
0,0,0,23,1,0.764905334,9.156255722,9.125971794,0,1,1,0,3.091042519,0,9.156255722,0,3.091042519
0,0,0,23,0,0.774500966,9.166259766,9.140077591,0,0,0,0,3.135494232,0,9.166259766,0,3.135494232
1,70642513,2,52,2,0.081075437,8.806017876,6.161212444,0,1,1,0,1.386294365,0,8.806017876,0,3.637586117
1,101961638,2,52,2,0.077397093,8.830451965,6.157127857,0,1,0,1,1.609437943,0,8.830451965,0,3.663561583
1,107865224,2,52,1,0.073890701,8.85904026,6.1720438,0,1,0,1,1.791759491,0,8.85904026,0,3.68887949
1,69702266,1,52,0,0.070547894,8.890732765,6.128038883,0,0,0,0,1.945910096,0,8.890732765,0,3.713572025
1,71545567,1,52,0,0.067360751,8.924093246,6.141882896,0,0,0,0,0,0,8.924093246,0,3.737669706
1,134171865,1,52,0,0.064321734,8.958075523,6.11686039,0,0,0,0,0.693147182,0,8.958075523,0,3.76120019
1,129407889,1,52,1,0.059487857,8.992505074,6.134877682,0,1,1,0,1.098612309,0,8.992505074,0,3.784189701
1,215798767,0,52,1,0.055040613,9.027416229,6.146715164,0,1,1,0,0,0,9.027416229,0,3.80666256
0,0,1,52,1,0.05094859,9.062336922,6.161043167,0,1,0,0,0.693147182,0,9.062336922,0,3.828641415
0,0,0,52,2,0.047182944,9.096800804,6.160675526,0,1,1,0,1.098612309,0,9.096800804,0,3.850147486
0,0,0,52,1,0.043718811,9.033870697,6.260740757,0,1,0,0,1.386294365,0,9.033870697,0,3.871201038
0,0,0,52,1,0.045845844,9.06186676,6.291585922,0.693147181,1,0,0,1.609437943,0,9.06186676,4.360995043,3.891820192
0,0,0,52,1,0.047972877,9.089099884,6.319922447,1.098612289,1,0,0,1.791759491,0,9.089099884,6.943144464,3.912023067
0,0,0,52,2,0.050099909,9.115611076,6.346055031,1.386294361,1,0,0,1.945910096,0,9.115611076,8.797500305,3.931825638
0,0,0,52,0,0.052226942,9.141437531,6.370239258,1.609437912,0,0,0,2.079441547,1.609437943,9.141437531,10.25250457,3.951243639
0,0,0,64,0,0.803711832,9.236824989,10.32216358,5.135798437,0,0,0,3.610917807,5.135798454,9.236824989,53.01255159,5.135798454
0,0,0,64,0,0.810738862,9.239974022,10.32676888,5.141663557,0,0,0,3.637586117,5.141663551,9.239974022,53.09677118,5.141663551
0,0,0,64,0,0.817847311,9.243675232,10.33579159,5.147494477,0,0,0,3.663561583,5.147494316,9.243675232,53.20343011,5.147494316
0,0,0,64,0,0.825038433,9.248113632,10.33964252,5.153291594,0,0,0,3.68887949,5.153291702,9.248113632,53.28319291,5.153291702
0,0,0,64,0,0.832313299,9.253493309,10.36753273,5.159055299,0,0,0,3.713572025,5.159055233,9.253493309,53.48667467,5.159055233
0,0,0,64,0,0.839673102,9.259900093,10.37939072,5.164785974,0,0,0,3.737669706,5.164785862,9.259900093,53.60733159,5.164785862
0,0,0,64,0,0.845677257,9.267451286,10.39910984,5.170483995,0,0,0,3.76120019,5.170484066,9.267451286,53.76843099,5.170484066
0,0,0,64,0,0.85175246,9.275946617,10.42019176,5.176149733,0,0,0,3.784189701,5.176149845,9.275946617,53.93647282,5.176149845
0,0,0,64,0,0.857899785,9.284758568,10.42209625,5.18178355,0,0,0,3.80666256,5.181783676,9.284758568,54.00504692,5.181783676
0,0,0,64,0,0.864120305,9.293066025,10.38578224,5.187385806,0,0,0,3.828641415,5.187386036,9.293066025,53.87505938,5.187386036
0,0,0,64,0,0.870382369,9.279126167,10.41598415,5.192956851,0,0,0,3.850147486,5.192956924,9.279126167,54.08975627,5.192956924
0,0,0,64,0,0.878128469,9.2849226,10.42620945,5.198497031,0,0,0,3.871201038,5.198496819,9.2849226,54.20061887,5.198496819
0,0,0,64,0,0.88587451,9.290685654,10.43621635,5.204006687,0,0,0,3.891820192,5.204006672,9.290685654,54.3101397,5.204006672
0,0,0,64,0,0.893620551,9.296416283,10.44601154,5.209486153,0,0,0,3.912023067,5.209486008,9.296416283,54.41835249,5.209486008
0,0,0,64,0,0.901366651,9.302113533,10.45560074,5.214935758,0,0,0,3.931825638,5.21493578,9.302113533,54.52528616,5.21493578
0,0,0,54,0,0.097019315,8.846405983,7.116539001,3.688879454,0,0,0,0.693147182,3.68887949,8.846405983,26.25205451,3.68887949
0,0,0,54,0,0.099935986,8.87834549,7.145208836,3.713572067,0,0,0,1.098612309,3.713572025,8.87834549,26.53424794,3.713572025
0,0,0,54,0,0.10296791,8.911225319,7.155590534,3.737669618,0,0,0,1.386294365,3.737669706,8.911225319,26.74523334,3.737669706
0,0,0,54,0,0.106119037,8.944508553,7.160398006,3.761200116,0,0,0,1.609437943,3.76120019,8.944508553,26.93168981,3.76120019
0,0,0,54,1,0.109393477,8.977499008,7.158128738,3.784189634,1,0,0,1.791759491,0,8.977499008,27.08771657,3.784189701
1,5951780,0,54,0,0.112795487,9.009736061,7.154141903,3.80666249,0,0,0,0,3.80666256,9.009736061,27.23340363,3.80666256
