Model,Scenario (History),Region,Variable,Unit,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010
History,WUP2009,PRI,Population|Urban|Share,%,44.544,51.52,58.326,62.768,66.913,69.152,72.171,87.131,94.647,97.644,98.785
History,WUP2009,PRK,Population|Urban|Share,%,40.195,45.091,54.2,56.7,56.9,57.644,58.384,59.018,59.412,59.805,60.215
History,WUP2009,PRT,Population|Urban|Share,%,34.955,36.866,38.804,40.779,42.785,45.298,47.915,51.109,54.399,57.62,60.703
History,WUP2009,PRY,Population|Urban|Share,%,35.569,36.243,37.065,38.981,41.688,44.983,48.694,52.131,55.331,58.479,61.495
History,WUP2009,PSE,Population|Urban|Share,%,44.044,48.898,54.298,59.6,62.444,65.202,67.864,70.414,71.969,73.061,74.144
History,WUP2009,PYF,Population|Urban|Share,%,42.444,48.209,55.252,56.877,57.397,57.286,55.864,53.548,52.381,51.779,51.443
History,WUP2009,QAT,Population|Urban|Share,%,85.237,87.235,88.382,88.909,89.363,90.1,92.214,94.078,94.945,95.422,95.831
History,WUP2009,REU,Population|Urban|Share,%,32.838,38.154,41.662,44.459,53.48,67.916,81.227,86.119,89.874,92.397,94.014
History,WUP2009,ROU,Population|Urban|Share,%,34.209,37.697,40.319,42.831,46.07,49.641,53.217,53.769,53.004,54.626,57.467
History,WUP2009,RUS,Population|Urban|Share,%,53.731,58.173,62.471,66.427,69.751,71.923,73.394,73.372,73.35,72.93,73.167
History,WUP2009,RWA,Population|Urban|Share,%,2.4,2.769,3.192,3.998,4.721,5.057,5.416,8.294,13.772,17.539,18.854
History,WUP2009,SAU,Population|Urban|Share,%,31.25,38.769,48.669,58.349,65.86,72.647,76.583,78.67,79.848,80.975,82.074
History,WUP2009,SDN,Population|Urban|Share,%,10.746,13.373,16.523,18.943,19.959,22.368,26.618,30.457,33.408,36.508,40.104
History,WUP2009,SEN,Population|Urban|Share,%,23,26.351,30,33.693,35.769,37.549,38.9,39.62,40.345,41.135,42.379
History,WUP2009,SGP,Population|Urban|Share,%,100,100,100,100,100,100,100,100,100,100,100
History,WUP2009,SHN,Population|Urban|Share,%,49.067,47.806,46.548,45.293,44.045,42.804,41.572,40.351,39.691,39.671,39.729
History,WUP2009,SLB,Population|Urban|Share,%,5.768,7.245,8.917,9.125,10.576,12.433,13.677,14.664,15.711,16.962,18.551
History,WUP2009,SLE,Population|Urban|Share,%,17.377,20.221,23.4,26.756,29.105,31.569,32.935,34.208,35.505,36.822,38.395
History,WUP2009,SLV,Population|Urban|Share,%,38.345,38.909,39.402,41.51,44.058,46.636,49.233,53.967,58.912,61.648,64.305
History,WUP2009,SMR,Population|Urban|Share,%,48.9,54.402,59.8,71.484,81.231,88.291,90.4,91.664,93.44,94.019,94.088
History,WUP2009,SOM,Population|Urban|Share,%,17.312,19.964,22.678,25.498,26.763,28.067,29.658,31.425,33.247,35.186,37.448
History,WUP2009,SPM,Population|Urban|Share,%,86.445,87.816,88.443,89.042,89.613,89.435,88.9,88.9,89.107,89.862,90.564
History,WUP2009,SRB,Population|Urban|Share,%,29.064,34.202,39.744,43.128,46.146,48.341,50.393,51.749,52.981,54.433,56.061
History,WUP2009,STP,Population|Urban|Share,%,16.073,21.833,29.518,31.639,33.482,38.049,43.648,48.631,53.424,58.064,62.225
History,WUP2009,SUR,Population|Urban|Share,%,47.26,47.109,45.948,49.469,55,57.532,60.026,62.468,64.85,67.159,69.382
History,WUP2009,SVK,Population|Urban|Share,%,33.464,37.043,41.057,46.257,51.638,54.176,56.491,56.537,56.233,55.595,54.967
History,WUP2009,SVN,Population|Urban|Share,%,28.204,32.497,37.004,42.374,48.045,49.58,50.38,50.616,50.752,50.215,49.505
History,WUP2009,SWE,Population|Urban|Share,%,72.49,77.056,81.034,82.73,83.087,83.1,83.1,83.824,84.026,84.319,84.682
History,WUP2009,SWZ,Population|Urban|Share,%,3.913,6.494,9.705,14.004,17.846,21.804,22.908,23.048,22.638,21.916,21.373
History,WUP2009,SYC,Population|Urban|Share,%,27.673,33.123,39.068,46.266,49.366,49.292,49.293,49.853,51.048,52.875,55.323
History,WUP2009,SYR,Population|Urban|Share,%,36.758,40.006,43.345,45.061,46.708,47.891,48.931,50.104,51.947,53.783,55.741
History,WUP2009,TCA,Population|Urban|Share,%,47.679,49.392,51.106,53.063,55.259,65.439,74.343,79.928,84.55,89.656,93.256
History,WUP2009,TCD,Population|Urban|Share,%,6.695,8.406,11.568,15.566,18.787,19.779,20.811,21.922,23.377,25.261,27.625
History,WUP2009,TGO,Population|Urban|Share,%,10.098,14.95,21.28,22.927,24.663,27.152,30.104,33.238,36.528,39.946,43.441
History,WUP2009,THA,Population|Urban|Share,%,19.672,20.221,20.889,23.758,26.791,28.095,29.424,30.276,31.143,32.303,33.963
History,WUP2009,TJK,Population|Urban|Share,%,33.168,35.152,36.876,35.536,34.289,33.235,31.658,28.877,26.487,26.356,26.319
History,WUP2009,TKL,Population|Urban|Share,%,0,0,0,0,0,0,0,0,0,0,0
History,WUP2009,TKM,Population|Urban|Share,%,46.412,47.139,47.78,47.557,47.078,45.976,45.075,44.784,45.798,47.308,49.502
History,WUP2009,TLS,Population|Urban|Share,%,10.091,11.353,12.886,14.593,16.483,18.563,20.842,22.534,24.263,26.08,28.122
History,WUP2009,TON,Population|Urban|Share,%,17.552,19.499,20.187,20.337,21.154,22.268,22.704,22.864,23.012,23.155,23.428
