timeindep,ltsc0,d1950,d1960,d1970,d1980,d1990,d2000,region,nb_conflict,ncts0,nc2l,timeinstatusnc,ltisnc,ltsnc,ltimeindep,temperature,prec_gpcc,temptemp,tempmean,tempdev,YMHEP,YMHEP_ltsc0,lpop,lGDPcap,lpop_ltsc0,lGDPcap_ltsc0,conflict_actual,conflict_prediction
132.0,4.88,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.88,0.0,24.0,23.0,3.14,4.88,24.94,549.51,24.94,25.25,-0.31,0.14,0.68,7.84,8.5,38.3,41.52,0,0
261.0,3.04,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,12.0,2.48,5.56,14.46,160.37,-99.0,13.78,0.68,0.18,0.56,10.33,8.87,31.46,27.01,0,0
45.0,3.81,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,16.0,15.0,2.71,3.81,8.24,387.84,8.24,8.02,0.21,0.12,0.46,6.24,7.65,23.74,29.13,0,0
11.0,2.4,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,1.0,4.0,3.0,1.1,2.4,7.54,73.42,-99.0,6.26,1.28,0.89,2.14,9.59,8.82,23.0,21.14,0,0
58.0,3.18,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.18,1.0,1.0,23.0,3.14,4.06,19.74,-99.0,-99.0,18.82,0.92,0.28,0.89,10.4,8.51,33.06,27.05,0,0
295.0,2.94,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.94,1.0,1.0,1.0,0.0,5.69,26.37,39.57,26.37,26.74,-0.37,0.49,1.44,7.68,9.74,22.6,28.67,0,0
23.0,3.14,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,3.14,0.0,23.0,22.0,3.09,3.14,21.18,641.57,21.18,21.73,-0.55,0.7,2.21,9.63,8.26,30.19,25.91,0,0
32.0,3.47,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.47,1.0,1.0,1.0,0.0,3.47,26.69,405.18,-99.0,25.96,0.74,0.02,0.07,8.38,7.23,29.04,25.06,0,0
12.0,1.95,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,13.0,12.0,2.48,2.48,12.52,130.72,-99.0,12.1,0.43,0.71,1.39,9.03,8.1,17.58,15.76,0,0
307.0,3.85,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,0.0,1.0,58.0,57.0,4.04,5.73,7.63,141.46,-99.0,6.22,1.41,0.36,1.38,14.1,8.56,54.3,32.97,0,0
61.0,4.08,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,4.08,0.0,28.0,27.0,3.3,4.11,0.12,111.94,0.12,1.87,-1.75,0.82,3.34,8.47,9.68,34.52,39.48,0,0
175.0,2.94,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,12.0,11.0,2.4,5.16,7.35,248.35,7.35,7.2,0.15,0.58,1.71,9.54,9.05,28.1,26.64,0,0
149.0,1.79,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.79,0.0,2.0,1.0,0.0,5.0,17.23,218.87,17.23,17.41,-0.19,0.22,0.39,7.97,8.9,14.28,15.95,0,0
160.0,2.77,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.77,0.0,4.0,3.0,1.1,5.08,22.7,338.95,22.7,23.17,-0.46,0.14,0.4,7.84,7.63,21.74,21.14,0,0
